idx,agent,size,slots,lp_norm,cost,reward,prestige,score
39,EDU,S,s_80,0.8303258603355701,0.7457042753073825,0.07778346194416103,0.30303258603355704,0.26409710622061744
44,EDU,S,s_88,0.8302893634006143,0.7456925962881966,0.07778083416484421,0.30302893634006145,0.26409370754419237
3,EDU,S,s_4,0.8297743970583931,0.7455278070586858,0.07774375658820429,0.30297743970583935,0.2640457527236266
20,EDU,S,s_302,0.8297743970583931,0.7455278070586858,0.07774375658820429,0.30297743970583935,0.2640457527236266
23,EDU,S,s_36,0.8297743970583931,0.7455278070586858,0.07774375658820429,0.30297743970583935,0.2640457527236266
35,EDU,S,s_28,0.8297743970583931,0.7455278070586858,0.07774375658820429,0.30297743970583935,0.2640457527236266
58,EDU,S,s_8,0.8297743970583931,0.7455278070586858,0.07774375658820429,0.30297743970583935,0.2640457527236266
9,EDU,S,s_312,0.825793577455484,0.7442539447857549,0.07745713757679484,0.30257935774554845,0.26367504987547885
11,EDU,S,s_235,0.8252981539070827,0.7440954092502665,0.07742146708130995,0.30252981539070833,0.26362891492369717
19,EDU,S,s_107,0.8188364743924081,0.7420276718055706,0.07695622615625336,0.30188364743924084,0.26302718883740117
43,EDU,S,s_101,0.8184112745297965,0.7418916078495349,0.07692561176614532,0.3018411274529797,0.26298759327271215
16,EDU,S,s_9,0.8178891672404074,0.7417245335169304,0.07688802004130932,0.3017889167240408,0.26293897347113315
51,EDU,S,s_15,0.8178891672404074,0.7417245335169304,0.07688802004130932,0.3017889167240408,0.26293897347113315
54,EDU,S,s_329,0.8178891672404074,0.7417245335169304,0.07688802004130932,0.3017889167240408,0.26293897347113315
28,EDU,S,s_122,0.8178399626410442,0.7417087880451342,0.07688447731015516,0.30178399626410446,0.2629343914285024
42,EDU,S,s_93,0.8155195483294014,0.7409662554654085,0.07671740747971686,0.30155195483294017,0.2627183092444264
37,EDU,S,s_113,0.8155051334640655,0.7409616427085011,0.0767163696094127,0.3015505133464066,0.2627169668998419
5,EDU,S,s_328,0.814944567847085,0.7407822617110673,0.0766760088849901,0.30149445678470854,0.2626647657725573
10,EDU,S,s_23,0.814944567847085,0.7407822617110673,0.0766760088849901,0.30149445678470854,0.2626647657725573
24,EDU,S,s_3,0.814944567847085,0.7407822617110673,0.0766760088849901,0.30149445678470854,0.2626647657725573
52,EDU,S,s_330,0.814944567847085,0.7407822617110673,0.0766760088849901,0.30149445678470854,0.2626647657725573
32,EDU,S,s_76,0.8144351746860075,0.7406192558995225,0.07663933257739253,0.30144351746860076,0.26261732993911724
1,EDU,S,s_40,0.8139653935606568,0.7404689259394103,0.07660550833636728,0.3013965393560657,0.26257358286727145
55,EDU,S,s_178,0.8139653935606568,0.7404689259394103,0.07660550833636728,0.3013965393560657,0.26257358286727145
29,EDU,S,s_287,0.8110349273924938,0.7395311767655981,0.07639451477225956,0.3011034927392494,0.2623006912863154
49,EDU,S,s_124,0.8109909576682367,0.7395171064538357,0.07639134895211305,0.3010990957668237,0.26229659672699335
15,EDU,S,s_123,0.8099431867385849,0.7391818197563472,0.0763159094451781,0.3009943186738585,0.26219902594846706
8,EDU,S,s_66,0.8095765594547679,0.7390644990255257,0.07628951228074327,0.30095765594547685,0.26216488479366057
36,EDU,S,s_50,0.8090871497211556,0.7389078879107699,0.07625427477992319,0.3009087149721156,0.26211930986179754
25,EDU,S,s_234,0.8066364796822134,0.7381236734983083,0.07607782653711936,0.30066364796822137,0.2618910979723056
40,EDU,S,s_53,0.8066364796822134,0.7381236734983083,0.07607782653711936,0.30066364796822137,0.2618910979723056
27,EDU,S,s_63,0.8061742546814475,0.7379757614980633,0.0760445463370642,0.3006174254681448,0.26184805454372534
46,EDU,S,s_311,0.799418236634621,0.7358138357230788,0.07555811303769269,0.2999418236634621,0.2612189189932806
57,EDU,S,s_344,0.799418236634621,0.7358138357230788,0.07555811303769269,0.2999418236634621,0.2612189189932806
