slot_id,x,y,angle_deg
s_626,79.529311,101.954486,182.66
s_627,84.296715,104.270834,179.00
s_628,80.487820,104.485660,173.35
s_629,82.316075,109.053692,184.55
s_630,88.003535,102.187600,184.92
s_631,86.292982,102.474277,184.60
s_632,82.035118,101.959961,189.93
s_633,78.186941,106.345982,146.75
s_634,89.670720,102.438032,184.67
s_635,76.728394,109.680987,146.06
s_636,77.421159,109.403268,156.28
s_637,78.190527,104.631745,134.51
s_638,74.035490,110.511669,152.93
s_639,79.162822,106.304515,160.55
s_640,79.340511,109.479211,167.79
s_641,83.295595,107.236762,180.37
s_642,84.591940,106.147518,179.72
s_643,80.302687,107.856828,171.92
s_644,78.014825,107.511193,152.98
s_645,75.498336,108.171030,137.86
s_646,79.899922,105.495205,167.04
s_647,83.477994,102.159856,188.66
s_648,87.138930,110.398502,164.72
s_649,76.271052,110.220873,155.68
s_650,80.957452,108.496760,175.90
s_651,74.680082,109.869829,151.30
s_652,77.202494,105.517119,156.40
s_653,79.910175,115.587386,181.39
s_654,74.663393,112.801590,180.07
s_655,76.164624,116.221697,175.47
s_656,84.563330,112.415008,169.18
s_657,76.760637,113.271296,170.33
s_658,72.247929,118.986323,143.49
s_659,73.196942,119.817734,167.30
s_660,74.999298,116.483581,174.06
s_661,74.280281,117.865873,169.88
s_662,76.964444,120.218385,180.19
s_663,73.642827,116.975265,162.53
s_664,70.066287,120.025821,157.81
s_665,79.137541,114.124958,179.32
s_666,78.387364,118.710978,186.21
s_667,81.652440,119.842411,173.45
s_668,76.861671,115.396659,179.70
s_669,74.325385,119.561408,171.84
s_670,69.677049,120.251467,162.53
s_671,71.503128,115.330003,149.77
s_672,71.162243,119.516951,142.94
s_673,70.325026,118.449768,139.62
s_674,82.742325,112.474494,174.15
s_675,70.918242,120.246480,139.06
s_676,70.895813,118.105218,138.74
s_677,78.694320,112.507296,184.95
s_678,74.963046,117.256603,180.06
s_679,77.347178,117.459421,180.18
s_680,73.267701,115.783935,160.23
s_681,72.872638,118.624537,169.90
s_682,78.477487,116.308186,178.23
s_683,76.149032,117.488906,179.91
s_684,74.957569,118.794434,178.27
s_685,84.003449,120.005727,184.77
s_686,75.156867,114.210079,178.35
s_687,74.364081,115.398190,171.37
s_688,77.556283,114.149743,174.63
s_689,71.724204,117.239985,139.90
s_690,71.873451,121.272779,149.97
s_691,76.043103,112.467560,166.37
s_692,78.360929,120.219436,182.49
s_693,70.863818,117.058906,160.13
s_694,73.682791,113.300912,161.70
s_695,80.715166,112.516591,175.94
s_696,74.443836,120.764159,152.63
s_697,73.744038,118.518548,155.60
s_698,75.696025,120.401114,180.03
s_699,80.131178,120.228719,179.29
s_700,72.349546,116.337622,143.72
s_701,69.451046,120.753679,153.98
s_702,73.033794,120.782798,153.67
s_703,72.745272,114.286676,149.56
s_704,72.532593,117.668599,155.45
s_705,79.813058,117.978202,181.81
s_706,81.180358,114.033540,178.00
s_707,76.228755,118.848443,177.25
s_708,71.719611,119.313357,160.43
